"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Microsoft","MSFT","3.02","406.66","United States"
"2","Apple","AAPL","2.81","183.36","United States"
"3","NVIDIA","NVDA","2.21","887.83","United States"
"4","Alphabet (Google)","GOOG","2.07","169.01","United States"
"5","Amazon","AMZN","1.93","186.235","United States"
"6","Saudi Aramco","2222.SR","1.933","7.99","Saudi Arabia"
"7","Meta Platforms (Facebook)","META","1.146","452.05","United States"
"8","Berkshire Hathaway","BRK-B","0.865","400.87","United States"
"9","TSMC","TSM","0.734","141.56","Taiwan"
"10","Eli Lilly","LLY","0.698","734.97","United States"
"11","Broadcom","AVGO","0.592","1278.11","United States"
"12","Tesla","TSLA","0.577","181.14","United States"
"13","Visa","V","0.549","268.49","United States"
"14","Novo Nordisk","NVO","0.548","123.05","Denmark"
"15","JPMorgan Chase","JPM","0.547","190.51","United States"
"16","Exxon Mobil","XOM","0.523","116","United States"
"17","Walmart","WMT","0.482","59.82","United States"
"18","UnitedHealth","UNH","0.453","492.45","United States"
"19","Tencent","TCEHY","0.444","47.14","China"
"20","LVMH","MC.PA","0.420","842.35","France"
"21","Mastercard","MA","0.412","443.58","United States"
"22","Procter & Gamble","PG","0.388","164.46","United States"
"23","Samsung","005930.KS","0.38","57.08","South Korea"
"24","Johnson & Johnson","JNJ","0.359","149.27","United States"
"25","ASML","ASML","0.355","901.63","Netherlands"
"26","Home Depot","HD","0.339","342.85","United States"
"27","Costco","COST","0.330","743.9","United States"
"28","Merck","MRK","0.323","127.51","United States"
"29","Oracle","ORCL","0.318","115.8","United States"
"30","Toyota","TM","0.315","232.87","Japan"
"31","Kweichow Moutai","600519.SS","0.306","244","China"
"32","Chevron","CVX","0.295","160.25","United States"
"33","Bank of America","BAC","0.291","37.25","United States"
"34","AbbVie","ABBV","0.290","163.79","United States"
"35","Nestlé","NESN.SW","0.268","102.36","Switzerland"
"36","Coca-Cola","KO","0.268","62.17","United States"
"37","Salesforce","CRM","0.265","273.66","United States"
"38","Hermès","RMS.PA","0.256","2449.16","France"
"39","L'Oréal","OR.PA","0.255","477.29","France"
"40","ICBC","1398.HK","0.250","0.55","China"
"41","Netflix","NFLX","0.250","579.34","United States"
"42","PetroChina","601857.SS","0.243","1.39","China"
"43","AMD","AMD","0.243","150.58","United States"
"44","Pepsico","PEP","0.242","176.15","United States"
"45","International Holding Company","IHC.AE","0.239","108.81","United Arab Emirates"
"46","AstraZeneca","AZN","0.237","76.37","United Kingdom"
"47","Shell","SHEL","0.231","72.37","United Kingdom"
"48","Reliance Industries","RELIANCE.NS","0.230","34.01","India"
"49","Thermo Fisher Scientific","TMO","0.219","572.38","United States"
"50","Adobe","ADBE","0.217","486.18","United States"